dNdx,percent_deltas,track_length
17653.9,0,0.00453158
132.278,0,2.147
3221.84,0,0.0322797
112.468,0,3.50323
171.583,0,0.973289
98.968,0,4.08213
140.506,0,1.9928
127.437,0,2.41689
120.918,0.251256,3.29149
105.194,0,3.83101
130.531,0,2.73498
1683.59,0,0.0457355
116.744,0,3.30637
131.779,0.371747,2.0413
515.239,0.409836,0.473567
250.403,0,0.371401
323.519,0,0.414196
466.435,0,0.287285
320.234,0,0.696365
184.102,0,1.65669
100.622,0,2.56405
118.527,0.438596,1.92362
170.574,0,1.49495
378.226,0.555556,0.475906
118.999,0,2.36977
309.931,0,0.680797
148.78,0,1.78787
128.653,0,2.26967
116.015,0,3.67195
144.138,0,1.5957
153.051,0,1.94052
269.46,0,0.872116
200.338,0,1.15305
115.992,0,2.75882
319.398,0,0.510335
157.537,0,2.00588
109.797,0,3.66132
141.247,0,1.97527
170.916,0,1.15847
646.452,0,0.21502
253.178,0,0.513474
135.929,0,1.87598
103.401,0,4.1489
188.121,0,1.13756
352.434,0,0.578832
123.797,0,3.27957
124.84,0,3.5165
433.364,0,0.387665
113.512,0,3.94673
84.5086,0,2.68612
119.34,0,2.45518
416.495,0,0.328936
193.031,0,0.953213
160.794,0,1.17542
161.309,0,0.967088
216.26,0,1.03117
157.189,0,1.56499
153.131,0,0.692216
244.333,0,0.523876
114.261,0,2.71309
115.132,0,2.58833
131.786,0,2.80757
113.663,0,3.57195
899.346,0,0.321345
145.234,0,1.21184
136.716,0,2.04805
113.627,0,2.3234
173.35,0,1.14796
271.853,0,0.426701
120.941,0,1.76946
155.604,0,1.60664
158.162,0,1.56169
105.385,0.287356,3.30219
106.226,0,3.26663
145.804,0,1.72148
125.878,0,1.76362
124.719,0,3.21522
123.056,0,1.68216
127.691,0,1.9187
113.424,0,3.9674
127.298,0,2.93799
145.632,0,2.01879
111.543,0,3.20056
736.799,0,0.169653
127.104,0,2.98181
130.685,0,1.84412
135.232,0,1.43458
1452.24,0,0.0970912
120.596,0,2.8608
133.828,0,3.01132
538.559,0,0.311943
129.652,0,1.81254
122.694,0,2.53477
129.001,0,1.96122
117.785,0,2.82719
180.169,0,1.12672
148.106,0,0.952018
153.111,0,1.35196
278.247,0,0.733163
130.663,0,1.80617
4353.6,0,0.0222804
144.665,0,1.1613
226.61,0,0.375093
109.081,0,3.85951
577.658,0,0.164457
145.389,0,2.64118
148.333,0,1.71237
115.969,0,3.64752
142.702,0,2.41061
175.129,0,1.25051
134.478,0,1.91854
140.856,0,2.33572
164.178,0,1.19991
179.255,0,1.32772
153.053,0,1.31981
202.037,0,1.33144
820.137,0,0.142659
1071.84,0,0.126885
209.831,0,1.05323
1432.99,0,0.0914175
147.155,0,2.15419
109.846,0,2.92228
14.3751,0,2.1565
131.428,0,3.05111
118.833,0,2.4404
119.093,0,1.19235
108.755,0,2.49183
160.094,0,1.66152
121.794,0,3.10361
110.389,0,4.04932
224.568,0,0.984112
123.818,0,2.49561
394.092,0,0.444058
249.513,0,0.653273
208.522,0,0.944746
186.57,0,1.57045
246.772,0,0.624058
110.627,0,3.99542
217.467,0,0.703556
139.557,0,1.9347
217.966,0,0.481727
140.706,0,1.35744
398.137,0,0.243635
157.542,0,1.45358
12778.3,0,0.00845186
149.772,0,2.06313
144.21,0,1.65731
181.742,0,1.14448
158.909,0,1.20824
117.245,0,1.04909
150.491,0,1.32234
106.906,0,2.22625
106.931,0,3.14221
175.035,0,1.53112
178.785,0,0.917304
123.446,0,3.00535
165.136,0,1.28379
108.635,0,2.57743
290.334,0,0.664751
231.162,0,0.744068
109.126,0,2.96905
185.008,0,1.23238
4677.14,0,0.020953
308.483,0,0.301475
126.806,0,2.16078
820.154,0,0.159726
146.924,0.485437,1.40209
