dNdx,percent_deltas,track_length
159.449,0,1.29822
127.654,0,3.29015
283.369,0,0.628157
185.517,0,0.700744
264.494,0,0.933858
111.238,0,2.98458
351.836,0,0.690663
147.207,0,1.61677
317.441,0,0.453628
195.133,0,1.42979
625.867,0,0.154985
194.207,0,0.60245
107.111,0,2.53942
122.252,0,3.55823
125.868,0,3.36861
140.268,0,1.88211
121.111,0,3.2532
214.799,0,0.535384
121.373,0,2.60355
159.782,0,1.53334
371.06,0,0.204819
165.052,0.420168,1.44197
126.325,0,2.58856
436.183,0,0.226969
114.904,0,2.97641
1696.53,0.60241,0.0978469
113.385,0,3.34258
131.055,0,1.24375
1217.6,0,0.0722732
122.119,0,3.13627
128.805,0,2.79492
121.078,0,3.1715
468.017,0,0.299135
110.21,0.26178,3.46611
19256.8,0,0.00997049
103.111,0,3.44288
141.83,0.436681,1.61461
295.093,0,0.467649
131.269,0,1.60739
227.836,0,0.877825
223.215,0,0.515197
109.475,0,2.68555
193.254,0,0.812403
690.854,0,0.193963
195.492,0,1.23279
110.92,0,2.72269
131.868,0,2.40393
106.235,0,3.73699
328.509,0,0.38964
134.672,0,2.49495
124.692,0,3.23196
113.672,0,3.43094
162.54,0,1.80263
209.372,0,0.716428
126.378,0,3.41832
112.709,0,3.57558
172.519,0,1.40854
238.202,0,0.35684
441.448,0.512821,0.441728
201.491,0,1.17623
192.042,0,0.994576
278.986,0,0.749142
1562.22,0,0.0806546
116.16,0,3.62432
115.778,0,3.3858
136.878,0,2.04562
147.198,0,2.04486
111.456,0,3.81317
131.777,0,2.73947
172.318,0,1.30572
162.901,0,1.42417
109.117,0,1.92454
134.71,0,1.30651
150.275,0,2.06288
180.099,0,1.30484
127.199,0,3.57707
137.302,0,0.837569
181.556,0,1.17319
1329.32,0,0.0985469
123.566,0,3.04292
183.097,0,1.34902
229.157,0,0.353469
115.021,0.238663,3.6428
109.46,0,4.00148
195.631,0,1.22169
181.6,0,1.17291
122.681,0,3.35831
315.865,0,0.690167
166.354,0,1.4367
302.297,0,0.615289
110.737,0,2.36598
154.407,0,2.59056
198.572,0,1.51583
79.7406,0,0.852765
131.98,0,2.84892
116.971,0,3.61629
111.193,0,3.63332
556.26,0,0.264265
97.2096,0,2.53061
179.43,0,1.04219
350.06,0.740741,0.385648
349.258,0,0.506788
135.807,0,2.29737
158.338,0,1.54101
148.386,0,1.66458
130.612,0,2.20501
6847.38,0,0.0113912
158.235,0,1.81376
78.7669,0,2.56453
584.852,0,0.201761
173.233,0,0.773523
201.279,0,0.700519
686.875,0,0.161601
138.882,0,1.71369
758.672,0,0.195078
939.327,0,0.15543
188.394,0,1.30577
137.153,0.260417,2.79979
107.16,0,3.49946
149.343,0,0.950834
112.303,0,2.87616
138.046,0,1.57193
34.2446,0,3.38739
589.562,0,0.25273
188.661,0,0.826881
141.359,0,2.51134
118.6,0,2.36087
144.721,0,1.14704
244.353,0,0.65479
134.913,0,2.39414
109.307,0,3.10136
143.551,0,1.53256
121.997,0,3.24599
135.177,0,2.16753
1270.31,0,0.0999755
135.522,0,1.42412
124.606,0,2.76873
17129.4,0,0.00753092
260.733,0,0.916645
189.462,0.348432,1.51482
322.873,0,0.452191
119.941,0.26178,3.18489
146.19,0.311526,2.19577
204.023,0,0.911664
102.839,0,2.14898
164.793,0,1.40783
128.208,0,2.64413
475.104,0,0.282044
444.445,0,0.18675
835.992,0,0.187801
207.746,0,1.19377
162.42,0,1.03436
327.145,0,0.317902
134.25,0,2.19739
136.725,0,0.906933
910.107,0,0.248322
161.16,0,1.27823
126.873,0.3367,2.34092
122.95,0,3.43228
181.344,0,0.794073
166.304,0,0.998174
315.062,0,0.818887
102.236,0,3.6484
449.092,0,0.16255
568.991,0,0.256595
