gen_time,drift_time,long_diffusion,trans_diffusion
0.0118722,2438.84,0.007077,0.012008
0.00763536,2330.71,0.007077,0.012009
0.0233338,2438.84,0.007077,0.012008
0.0108506,2438.84,0.007077,0.012008
0.0228338,2438.84,0.007077,0.012008
0.00147043,2013.3,0.007077,0.012016
0.011379,2438.84,0.007077,0.012008
0.00927062,2438.84,0.007077,0.012008
0.0216742,2438.84,0.007077,0.012008
0.0302025,1858.03,0.007077,0.01202
0.0295236,1858.03,0.007077,0.01202
0.00329902,2167.93,0.007077,0.012013
0.0344885,1457.12,0.007078,0.012033
0.028031,1858.03,0.007077,0.01202
0.0340037,1657.28,0.007078,0.012026
0.0265695,2167.93,0.007077,0.012013
0.0267969,2167.93,0.007077,0.012013
0.00129487,2013.3,0.007077,0.012016
0.00836006,2330.71,0.007077,0.012009
0.0182894,2918.04,0.007076,0.011994
0.00172917,2013.3,0.007077,0.012016
0.0101509,2438.84,0.007077,0.012008
0.0189202,2918.04,0.007076,0.011994
0.033522,1657.28,0.007078,0.012026
0.0097902,2438.84,0.007077,0.012008
0.00875444,2330.71,0.007077,0.012009
0.0166702,2918.04,0.007076,0.011994
0.0163449,2716.54,0.007076,0.011996
0.027917,1858.03,0.007077,0.01202
0.0266161,2167.93,0.007077,0.012013
0.00214819,2167.93,0.007077,0.012013
0.0174832,2918.04,0.007076,0.011994
0.0137545,2716.54,0.007076,0.011996
0.0118507,2438.84,0.007077,0.012008
0.0333195,1657.28,0.007078,0.012026
0.00357343,2167.93,0.007077,0.012013
0.0257061,2167.93,0.007077,0.012013
0.0131192,2716.54,0.007076,0.011996
0.026296,2167.93,0.007077,0.012013
0.0187199,2918.04,0.007076,0.011994
0.00812705,2330.71,0.007077,0.012009
0.0229817,2438.84,0.007077,0.012008
0.0153059,2716.54,0.007076,0.011996
0.0024829,2167.93,0.007077,0.012013
0.0200524,2438.84,0.007077,0.012008
0.0234396,2438.84,0.007077,0.012008
0.0145927,2716.54,0.007076,0.011996
0.0135441,2716.54,0.007076,0.011996
0.0130048,2716.54,0.007076,0.011996
0.00999709,2438.84,0.007077,0.012008
0.00180863,2013.3,0.007077,0.012016
0.0308221,1657.28,0.007078,0.012026
0.0257072,2167.93,0.007077,0.012013
0.0307367,1858.03,0.007077,0.01202
0.0139159,2716.54,0.007076,0.011996
0.00152749,2013.3,0.007077,0.012016
0.0278342,1858.03,0.007077,0.01202
0.0226405,2438.84,0.007077,0.012008
0.00531467,2167.93,0.007077,0.012013
0.0156947,2716.54,0.007076,0.011996
0.0343862,1457.12,0.007078,0.012033
0.0207624,2438.84,0.007077,0.012008
0.0107461,2438.84,0.007077,0.012008
0.00545139,2167.93,0.007077,0.012013
0.00970824,2438.84,0.007077,0.012008
0.0298005,1858.03,0.007077,0.01202
0.0168169,2918.04,0.007076,0.011994
0.0120912,2438.84,0.007077,0.012008
0.0106612,2438.84,0.007077,0.012008
0.0126621,2438.84,0.007077,0.012008
