gen_time,drift_time,long_diffusion,trans_diffusion
0.008911,1806.93,0.007076,0.011998
0.0205484,2067.83,0.007076,0.012002
0.00301692,1279.57,0.007076,0.011999
0.00396623,1467.77,0.007076,0.012005
0.00770427,1806.93,0.007076,0.011998
0.027644,1986.54,0.007077,0.012012
0.0165235,2254.07,0.007076,0.012
0.0220382,2172.57,0.007077,0.012008
0.0211322,1874.62,0.007076,0.012006
0.0266879,1986.54,0.007077,0.012012
0.0196472,2067.83,0.007076,0.012002
0.00613714,1467.77,0.007076,0.012005
0.00453363,1467.77,0.007076,0.012005
0.00985577,1806.93,0.007076,0.011998
0.000410098,1047.48,0.007076,0.012006
0.0281867,1986.54,0.007077,0.012012
0.0223637,2172.57,0.007077,0.012008
0.00858312,1806.93,0.007076,0.011998
0.00716649,1806.93,0.007076,0.011998
0.00533447,1467.77,0.007076,0.012005
0.030399,1849.83,0.007077,0.012015
0.0154288,2254.07,0.007076,0.012
0.0137914,2477.97,0.007076,0.011997
0.0221301,2172.57,0.007077,0.012008
0.030884,1849.83,0.007077,0.012015
0.0315426,2187.81,0.007077,0.012017
0.0274592,1986.54,0.007077,0.012012
0.00194221,1047.48,0.007076,0.012006
0.00608573,1467.77,0.007076,0.012005
0.0312249,2187.81,0.007077,0.012017
0.0214759,1874.62,0.007076,0.012006
0.0138217,2254.07,0.007076,0.012
0.0241208,2172.57,0.007077,0.012008
0.00190233,1047.48,0.007076,0.012006
0.0249407,1986.54,0.007077,0.012012
0.0229951,2172.57,0.007077,0.012008
0.00117659,1047.48,0.007076,0.012006
0.0219434,1874.62,0.007076,0.012006
0.0313683,2187.81,0.007077,0.012017
0.0125049,2192.38,0.007076,0.011993
0.00025748,1047.48,0.007076,0.012006
0.0302155,1849.83,0.007077,0.012015
0.00261945,1047.48,0.007076,0.012006
0.0183252,2067.83,0.007076,0.012002
0.00666739,1806.93,0.007076,0.011998
0.026155,1986.54,0.007077,0.012012
0.00236731,1047.48,0.007076,0.012006
0.000128194,1047.48,0.007076,0.012006
0.00118211,1047.48,0.007076,0.012006
0.00159207,1047.48,0.007076,0.012006
0.0167673,2254.07,0.007076,0.012
0.0214506,1874.62,0.007076,0.012006
0.0271906,1986.54,0.007077,0.012012
0.0210099,2067.83,0.007076,0.012002
0.0298694,2475.8,0.007077,0.012011
0.019968,3006.9,0.007076,0.011998
0.00571426,2421.02,0.007077,0.012022
0.0252381,2624.48,0.007077,0.012008
0.0169609,3258.85,0.007076,0.011995
0.00578901,2421.02,0.007077,0.012022
0.0175241,3258.85,0.007076,0.011995
0.024005,2624.48,0.007077,0.012008
0.00103488,1634.83,0.007078,0.012033
0.0112622,2656.97,0.007077,0.01201
0.0180327,3258.85,0.007076,0.011995
0.0212658,3006.9,0.007076,0.011998
0.0159358,3258.85,0.007076,0.011995
0.0225996,2871.37,0.007076,0.011997
0.0107583,2656.97,0.007077,0.01201
0.00771015,2421.02,0.007077,0.012022
0.00571381,2421.02,0.007077,0.012022
0.00821641,2421.02,0.007077,0.012022
0.0125367,2931.46,0.007076,0.012003
0.0327251,2108.6,0.007077,0.012014
