============= Kalman Filter Processing ===========
Initializing GenFit field
>>> Track = 212, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04785
>>> Track = 213, hits = 55, fitted = 1, converged = 1, chi2 = 110.027, ndf = 105, X2v = 1.04788
>>> Track = 214, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 215, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 216, hits = 55, fitted = 1, converged = 1, chi2 = 110.018, ndf = 105, X2v = 1.04779
>>> Track = 217, hits = 55, fitted = 1, converged = 1, chi2 = 110.028, ndf = 105, X2v = 1.04788
>>> Track = 218, hits = 55, fitted = 1, converged = 1, chi2 = 110.013, ndf = 105, X2v = 1.04774
>>> Track = 219, hits = 55, fitted = 1, converged = 1, chi2 = 110.021, ndf = 105, X2v = 1.04782
>>> Track = 220, hits = 55, fitted = 1, converged = 1, chi2 = 110.019, ndf = 105, X2v = 1.0478
>>> Track = 221, hits = 55, fitted = 1, converged = 1, chi2 = 110.02, ndf = 105, X2v = 1.04781
>>> Track = 222, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04786
>>> Track = 223, hits = 37, fitted = 1, converged = 1, chi2 = 74.008, ndf = 69, X2v = 1.07258
>>> Track = 224, hits = 55, fitted = 1, converged = 1, chi2 = 110.025, ndf = 105, X2v = 1.04786
>>> Track = 226, hits = 46, fitted = 1, converged = 1, chi2 = 92.0119, ndf = 87, X2v = 1.05761
>>> Track = 227, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 228, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04784
>>> Track = 229, hits = 6, fitted = 1, converged = 1, chi2 = 12.0004, ndf = 7, X2v = 1.71434
>>> Track = 230, hits = 55, fitted = 1, converged = 1, chi2 = 110.02, ndf = 105, X2v = 1.04781
>>> Track = 231, hits = 22, fitted = 1, converged = 1, chi2 = 44.0047, ndf = 39, X2v = 1.12832
>>> Track = 232, hits = 55, fitted = 1, converged = 1, chi2 = 110.028, ndf = 105, X2v = 1.04789
>>> Track = 233, hits = 55, fitted = 1, converged = 1, chi2 = 110.024, ndf = 105, X2v = 1.04785
>>> Track = 234, hits = 55, fitted = 1, converged = 1, chi2 = 110.02, ndf = 105, X2v = 1.04781
>>> Track = 235, hits = 55, fitted = 1, converged = 1, chi2 = 110.022, ndf = 105, X2v = 1.04783
>>> Track = 236, hits = 11, fitted = 1, converged = 1, chi2 = 22.0015, ndf = 17, X2v = 1.29421
